caso,width,threads,schedule,chunk,n,t_med,t_min,t_max,t_media,t_desvio,flb,razao_tmax_tmed,w_max,w_media,escrita_s,cv_pct,pol,t_seq,speedup,speedup_min,speedup_max,eficiencia,karp_flatt,flb_prev,efic_bal_prev
padrao,11585,8,dynamic,1,5,7.847000122,7.84100008,7.861999989,7.849800062200001,0.008584821873699954,0.0,1.0,2900492756.0,2895976715.5,0.363999844,0.10936357366653686,"dynamic,1",55.353999853,7.054160697386568,7.04070210257539,7.059558638979124,88.1770087173321,0.019154638825198127,,
zoom,4096,1,dynamic,1,5,3.085000038,3.061000109,3.106999874,3.084400034,0.017601067340050028,0.0,1.0,1264428688.0,1264428688.0,0.041000128,0.5706480075875277,"dynamic,1",3.097000003,1.0038897779099476,0.9967815026052362,1.0117608274152465,100.38897779099476,,,
zoom,4096,2,dynamic,1,5,1.592999935,1.586999893,1.618999958,1.5975999356,0.012953772002836626,0.000625,1.0003127707200088,632708550.0,632214344.0,0.041000128,0.810827023348099,"dynamic,1",3.097000003,1.9441306524598194,1.9129092546894306,1.951480914813143,97.20653262299098,0.028737444918885302,0.00041593061771497353,99.97920346911425
zoom,4096,2,dynamic,16,5,1.611000061,1.601000071,1.612999916,1.609200001,0.004816595478576007,0.004966,1.0024891524688389,634009788.0,632214344.0,0.039000034,0.2993161493650786,"dynamic,16",3.097000003,1.9224083710323334,1.9200249003608751,1.9344159060939852,96.12041855161667,0.04036167868224583,0.0052228467176041425,99.73885766411979
zoom,4096,2,guided,1,5,1.873000145,1.866999865,1.976000071,1.8923999787999999,0.04681137700620987,0.306374,1.1808981027368395,746580441.0,632214344.0,0.039999962,2.4736513174077337,"guided,1",3.097000003,1.6534969371291746,1.5673076375107071,1.658811048173268,82.67484685645873,0.20955772888967616,0.30637314003783284,84.68134299810836
zoom,4096,2,static,0,5,1.879999876,1.877000093,1.894999981,1.8834000110000002,0.007569669577188881,0.303723,1.179052956832148,746580441.0,632214344.0,0.041000128,0.4019151286491566,static (blocos),3.097000003,1.6473405357820352,1.634300809525971,1.6499732815942914,82.36702678910176,0.21407805888206854,0.30637314003783284,84.68134299810836
zoom,4096,2,static,1,5,1.589999914,1.581999779,1.597000122,1.5894000054000001,0.00536668054988054,0.000629,1.000314541689668,632309347.0,632214344.0,0.041999817,0.33765449425237176,"static,1",3.097000003,1.9477988493777991,1.9392609683219546,1.9576488215173131,97.38994246888996,0.026800072624991955,0.00030049532068675874,99.98497523396566
zoom,4096,4,dynamic,1,5,0.836999893,0.830999851,0.852999926,0.8400000096,0.008426161820641688,0.001186,1.0008809937787821,317863440.0,316107172.0,0.042000055,1.0031144909931782,"dynamic,1",3.097000003,3.7001199509113913,3.630715441586099,3.726835810226878,92.50299877278478,0.027015344823685544,0.000975524382019973,99.94595579051501
zoom,4096,4,dynamic,16,5,0.845999956,0.84100008,0.852999926,0.8460000038000001,0.004415817025927243,0.016548,1.0074426484781676,320428305.0,316107172.0,0.042000055,0.521964185117329,"dynamic,16",3.097000003,3.6607566951220973,3.630715441586099,3.6825204618292067,91.51891737805244,0.03089008941147231,0.01837345757908981,99.096081788445
zoom,4096,4,guided,1,5,0.93599987,0.930999994,0.937999964,0.9345999716,0.002966405166893924,0.146056,1.1223451773347566,356502813.0,316107172.0,0.041000128,0.3173983797383976,"guided,1",3.097000003,3.308761146515971,3.3017058868458546,3.3265306369056753,82.71902866289928,0.06963722703403996,0.15151400502413426,88.6689138130307
