run_id,data_hora,caso,fase,rep,versao,threads,schedule,chunk,width,height,max_iter,real_a,real_b,imag_a,imag_b,tempo_calculo_s,tempo_escrita_s,carga_min,carga_media,carga_max,fator_balanceamento,trabalho_min,trabalho_media,trabalho_max,pedido_threads,pedido_schedule,pedido_chunk,hash,hash_ok,config_ok,tempo_wall_s,exe
"medicao|openmp|padrao|4096|t6|static,0|r1",2026-09-20T22:43:47,padrao,medicao,1,openmp,6,static,0,4096,4096,1000,-2,1,-1.5,1.5,2.993999958,0.039000034,0.013000011,1.221833229,2.992999792,0.995657,6649179,482515464.833,1189490404,6,static,0,e50c4473b1256734f2a689a350cd056774c7a3aa5461a598bb12055c19c5c817,True,True,3.047,mandelbrot_omp_padrao_4096.exe
"medicao|openmp|padrao|4096|t12|dynamic,1|r1",2026-09-20T22:43:48,padrao,medicao,1,openmp,12,dynamic,1,4096,4096,1000,-2,1,-1.5,1.5,0.699000120,0.043999910,0.696000099,0.697833300,0.697999954,0.002865,224626535,241257732.417,246525827,12,dynamic,1,e50c4473b1256734f2a689a350cd056774c7a3aa5461a598bb12055c19c5c817,True,True,0.761,mandelbrot_omp_padrao_4096.exe
"medicao|openmp|padrao|4096|t6|dynamic,1|r1",2026-09-20T22:43:49,padrao,medicao,1,openmp,6,dynamic,1,4096,4096,1000,-2,1,-1.5,1.5,1.286000013,0.040999889,1.284999847,1.284999847,1.284999847,0.000000,480706048,482515464.833,484283606,6,dynamic,1,e50c4473b1256734f2a689a350cd056774c7a3aa5461a598bb12055c19c5c817,True,True,1.344,mandelbrot_omp_padrao_4096.exe
"medicao|openmp|padrao|4096|t4|dynamic,1|r1",2026-09-20T22:43:51,padrao,medicao,1,openmp,4,dynamic,1,4096,4096,1000,-2,1,-1.5,1.5,1.878999949,0.039000034,1.878000021,1.878000021,1.878000021,0.000000,721118115,723773197.250,725766671,4,dynamic,1,e50c4473b1256734f2a689a350cd056774c7a3aa5461a598bb12055c19c5c817,True,True,1.933,mandelbrot_omp_padrao_4096.exe
"medicao|openmp|padrao|4096|t8|guided,1|r1",2026-09-20T22:43:53,padrao,medicao,1,openmp,8,guided,1,4096,4096,1000,-2,1,-1.5,1.5,1.625999928,0.042000055,0.378999949,0.978999943,1.625999928,0.766913,135801095,361886598.625,617593212,8,guided,1,e50c4473b1256734f2a689a350cd056774c7a3aa5461a598bb12055c19c5c817,True,True,1.683,mandelbrot_omp_padrao_4096.exe
"medicao|openmp|padrao|4096|t6|static,4|r1",2026-09-20T22:43:54,padrao,medicao,1,openmp,6,static,4,4096,4096,1000,-2,1,-1.5,1.5,1.290000200,0.039999962,1.280999899,1.284999967,1.289000034,0.006206,482459219,482515464.833,482591146,6,static,4,e50c4473b1256734f2a689a350cd056774c7a3aa5461a598bb12055c19c5c817,True,True,1.347,mandelbrot_omp_padrao_4096.exe
"medicao|openmp|padrao|4096|t8|dynamic,1|r1",2026-09-20T22:43:55,padrao,medicao,1,openmp,8,dynamic,1,4096,4096,1000,-2,1,-1.5,1.5,0.980999947,0.044000149,0.980999947,0.980999947,0.980999947,0.000000,361063110,361886598.625,363050302,8,dynamic,1,e50c4473b1256734f2a689a350cd056774c7a3aa5461a598bb12055c19c5c817,True,True,1.041,mandelbrot_omp_padrao_4096.exe
"medicao|openmp|padrao|4096|t4|dynamic,16|r1",2026-09-20T22:43:57,padrao,medicao,1,openmp,4,dynamic,16,4096,4096,1000,-2,1,-1.5,1.5,1.891000032,0.039000034,1.890000105,1.890500069,1.891000032,0.000529,722501061,723773197.250,724949224,4,dynamic,16,e50c4473b1256734f2a689a350cd056774c7a3aa5461a598bb12055c19c5c817,True,True,1.945,mandelbrot_omp_padrao_4096.exe
"medicao|openmp|padrao|4096|t12|dynamic,256|r1",2026-09-20T22:43:59,padrao,medicao,1,openmp,12,dynamic,256,4096,4096,1000,-2,1,-1.5,1.5,1.472000122,0.039999962,0.017999887,0.654083391,1.471000195,0.987764,3694606,241257732.417,557153418,12,dynamic,256,e50c4473b1256734f2a689a350cd056774c7a3aa5461a598bb12055c19c5c817,True,True,1.530,mandelbrot_omp_padrao_4096.exe
"medicao|openmp|padrao|4096|t6|guided,16|r1",2026-09-20T22:44:01,padrao,medicao,1,openmp,6,guided,16,4096,4096,1000,-2,1,-1.5,1.5,2.167999983,0.039999962,0.519999981,1.249333342,2.167000055,0.760037,199195041,482515464.833,849581425,6,guided,16,e50c4473b1256734f2a689a350cd056774c7a3aa5461a598bb12055c19c5c817,True,True,2.222,mandelbrot_omp_padrao_4096.exe
"medicao|openmp|padrao|4096|t4|static,0|r1",2026-09-20T22:44:05,padrao,medicao,1,openmp,4,static,0,4096,4096,1000,-2,1,-1.5,1.5,3.486999989,0.039000034,0.101000071,1.794750094,3.486000061,0.971027,42523279,723773197.250,1405022951,4,static,0,e50c4473b1256734f2a689a350cd056774c7a3aa5461a598bb12055c19c5c817,True,True,3.541,mandelbrot_omp_padrao_4096.exe
"medicao|openmp|padrao|4096|t6|static,256|r1",2026-09-20T22:44:06,padrao,medicao,1,openmp,6,static,256,4096,4096,1000,-2,1,-1.5,1.5,1.476000071,0.037999868,1.153000116,1.275666714,1.476000071,0.218835,432732684,482515464.833,561341002,6,static,256,e50c4473b1256734f2a689a350cd056774c7a3aa5461a598bb12055c19c5c817,True,True,1.528,mandelbrot_omp_padrao_4096.exe
"medicao|openmp|padrao|4096|t12|static,1|r1",2026-09-20T22:44:07,padrao,medicao,1,openmp,12,static,1,4096,4096,1000,-2,1,-1.5,1.5,0.835999966,0.045000076,0.703000069,0.752916674,0.835999966,0.159091,241212351,241257732.417,241297033,12,static,1,e50c4473b1256734f2a689a350cd056774c7a3aa5461a598bb12055c19c5c817,True,True,0.900,mandelbrot_omp_padrao_4096.exe
"medicao|openmp|padrao|4096|t6|static,64|r1",2026-09-20T22:44:09,padrao,medicao,1,openmp,6,static,64,4096,4096,1000,-2,1,-1.5,1.5,1.314000130,0.046000004,1.249000072,1.282000065,1.314000130,0.049467,470080461,482515464.833,494838350,6,static,64,e50c4473b1256734f2a689a350cd056774c7a3aa5461a598bb12055c19c5c817,True,True,1.374,mandelbrot_omp_padrao_4096.exe
"medicao|openmp|padrao|4096|t2|dynamic,1|r1",2026-09-20T22:44:13,padrao,medicao,1,openmp,2,dynamic,1,4096,4096,1000,-2,1,-1.5,1.5,3.638000011,0.040000200,3.638000011,3.638000011,3.638000011,0.000000,1447497120,1447546394.500,1447595669,2,dynamic,1,e50c4473b1256734f2a689a350cd056774c7a3aa5461a598bb12055c19c5c817,True,True,3.694,mandelbrot_omp_padrao_4096.exe
"medicao|openmp|padrao|4096|t12|guided,16|r1",2026-09-20T22:44:14,padrao,medicao,1,openmp,12,guided,16,4096,4096,1000,-2,1,-1.5,1.5,1.143000126,0.040999889,0.263999939,0.676249901,1.141999960,0.768827,94543437,241257732.417,411959271,12,guided,16,e50c4473b1256734f2a689a350cd056774c7a3aa5461a598bb12055c19c5c817,True,True,1.198,mandelbrot_omp_padrao_4096.exe
"medicao|openmp|padrao|4096|t2|dynamic,16|r1",2026-09-20T22:44:18,padrao,medicao,1,openmp,2,dynamic,16,4096,4096,1000,-2,1,-1.5,1.5,3.604000092,0.041999817,3.602999926,3.603500009,3.604000092,0.000278,1446999072,1447546394.500,1448093717,2,dynamic,16,e50c4473b1256734f2a689a350cd056774c7a3aa5461a598bb12055c19c5c817,True,True,3.662,mandelbrot_omp_padrao_4096.exe
"medicao|openmp|padrao|4096|t4|guided,1|r2",2026-09-20T22:44:21,padrao,medicao,2,openmp,4,guided,1,4096,4096,1000,-2,1,-1.5,1.5,3.085999966,0.041000128,0.569000006,1.832749963,3.085999966,0.815619,222260573,723773197.250,1234556368,4,guided,1,e50c4473b1256734f2a689a350cd056774c7a3aa5461a598bb12055c19c5c817,True,True,3.141,mandelbrot_omp_padrao_4096.exe
"medicao|openmp|padrao|4096|t6|static,4|r2",2026-09-20T22:44:22,padrao,medicao,2,openmp,6,static,4,4096,4096,1000,-2,1,-1.5,1.5,1.289000034,0.041000128,1.282999992,1.285833399,1.289000034,0.004655,482459219,482515464.833,482591146,6,static,4,e50c4473b1256734f2a689a350cd056774c7a3aa5461a598bb12055c19c5c817,True,True,1.348,mandelbrot_omp_padrao_4096.exe
"medicao|openmp|padrao|4096|t4|static,1|r2",2026-09-20T22:44:24,padrao,medicao,2,openmp,4,static,1,4096,4096,1000,-2,1,-1.5,1.5,1.879999876,0.065999985,1.868999958,1.873999953,1.879999876,0.005851,723751348,723773197.250,723794999,4,static,1,e50c4473b1256734f2a689a350cd056774c7a3aa5461a598bb12055c19c5c817,True,True,1.966,mandelbrot_omp_padrao_4096.exe
"medicao|openmp|padrao|4096|t6|static,0|r2",2026-09-20T22:44:27,padrao,medicao,2,openmp,6,static,0,4096,4096,1000,-2,1,-1.5,1.5,2.996000051,0.042000055,0.009999990,1.219333331,2.996000051,0.996662,6649179,482515464.833,1189490404,6,static,0,e50c4473b1256734f2a689a350cd056774c7a3aa5461a598bb12055c19c5c817,True,True,3.052,mandelbrot_omp_padrao_4096.exe
"medicao|openmp|padrao|4096|t4|dynamic,1|r2",2026-09-20T22:44:29,padrao,medicao,2,openmp,4,dynamic,1,4096,4096,1000,-2,1,-1.5,1.5,1.884999990,0.040999889,1.884000063,1.884000063,1.884000063,0.000000,722432170,723773197.250,725213251,4,dynamic,1,e50c4473b1256734f2a689a350cd056774c7a3aa5461a598bb12055c19c5c817,True,True,1.942,mandelbrot_omp_padrao_4096.exe
"medicao|openmp|padrao|4096|t2|static,1|r2",2026-09-20T22:44:33,padrao,medicao,2,openmp,2,static,1,4096,4096,1000,-2,1,-1.5,1.5,3.609000206,0.045999765,3.609000206,3.609000206,3.609000206,0.000000,1447546204,1447546394.500,1447546585,2,static,1,e50c4473b1256734f2a689a350cd056774c7a3aa5461a598bb12055c19c5c817,True,True,3.672,mandelbrot_omp_padrao_4096.exe
"medicao|openmp|padrao|4096|t12|guided,16|r2",2026-09-20T22:44:34,padrao,medicao,2,openmp,12,guided,16,4096,4096,1000,-2,1,-1.5,1.5,1.106999874,0.041000128,0.277999878,0.662583252,1.106999874,0.748871,94317350,241257732.417,411959271,12,guided,16,e50c4473b1256734f2a689a350cd056774c7a3aa5461a598bb12055c19c5c817,True,True,1.161,mandelbrot_omp_padrao_4096.exe
"medicao|openmp|padrao|4096|t6|dynamic,256|r2",2026-09-20T22:44:36,padrao,medicao,2,openmp,6,dynamic,256,4096,4096,1000,-2,1,-1.5,1.5,1.470000029,0.039999962,1.160000086,1.276999990,1.470000029,0.210884,435125823,482515464.833,558949047,6,dynamic,256,e50c4473b1256734f2a689a350cd056774c7a3aa5461a598bb12055c19c5c817,True,True,1.525,mandelbrot_omp_padrao_4096.exe
"medicao|openmp|padrao|4096|t4|dynamic,16|r2",2026-09-20T22:44:38,padrao,medicao,2,openmp,4,dynamic,16,4096,4096,1000,-2,1,-1.5,1.5,1.891000032,0.040999889,1.890000105,1.890000105,1.890000105,0.000000,720316453,723773197.250,726467695,4,dynamic,16,e50c4473b1256734f2a689a350cd056774c7a3aa5461a598bb12055c19c5c817,True,True,1.948,mandelbrot_omp_padrao_4096.exe
